FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Pawn, Black, 6, 6
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Knight, Black, 6, 6
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
MAX CHOSEN: 5200, Knight, White, 5, 2
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Pawn, Black, 6, 6
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Knight, Black, 6, 6
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
MAX CHOSEN: 5200, Knight, White, 1, 4
FINAL MOVE: -1450, Knight, Black, 3, 6
FINAL MOVE: 1550, Knight, Black, 3, 4
FINAL MOVE: -1450, Knight, Black, 2, 3
FINAL MOVE: -1450, Pawn, Black, 1, 6
FINAL MOVE: -1450, Rook, Black, 2, 8
FINAL MOVE: -1450, Pawn, Black, 2, 6
FINAL MOVE: -1450, Pawn, Black, 2, 5
FINAL MOVE: -1450, Pawn, Black, 3, 6
FINAL MOVE: -1450, Pawn, Black, 3, 5
FINAL MOVE: -1450, Pawn, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 6, 8
FINAL MOVE: -1450, Bishop, Black, 6, 6
FINAL MOVE: -1450, Bishop, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 7, 5
FINAL MOVE: -1450, Bishop, Black, 3, 5
FINAL MOVE: -1450, Bishop, Black, 8, 4
FINAL MOVE: -1450, Bishop, Black, 2, 4
FINAL MOVE: -1450, Bishop, Black, 1, 3
FINAL MOVE: -1450, King, Black, 6, 8
FINAL MOVE: 5050, King, Black, 7, 8
FINAL MOVE: -1450, Pawn, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 6, 5
FINAL MOVE: -1450, Pawn, Black, 7, 6
FINAL MOVE: -1450, Pawn, Black, 7, 5
FINAL MOVE: -1450, Knight, Black, 6, 6
FINAL MOVE: -1450, Knight, Black, 6, 4
FINAL MOVE: -1450, Knight, Black, 7, 3
FINAL MOVE: -1450, Pawn, Black, 8, 6
FINAL MOVE: -1450, Rook, Black, 7, 8
FINAL MOVE: -1450, Rook, Black, 6, 8
MAX CHOSEN: 5050, Knight, White, 4, 5
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Knight, White, 2, 5
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Knight, White, 2, 1
FINAL MOVE: -1450, Knight, Black, 3, 6
FINAL MOVE: -1450, Knight, Black, 3, 4
FINAL MOVE: -1450, Knight, Black, 2, 3
FINAL MOVE: -1450, Pawn, Black, 1, 6
FINAL MOVE: -1450, Rook, Black, 2, 8
FINAL MOVE: -1450, Pawn, Black, 2, 6
FINAL MOVE: -1450, Pawn, Black, 2, 5
FINAL MOVE: -1450, Pawn, Black, 3, 6
FINAL MOVE: -1450, Pawn, Black, 3, 5
FINAL MOVE: -1450, Pawn, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 6, 8
FINAL MOVE: -1450, Bishop, Black, 6, 6
FINAL MOVE: -1450, Bishop, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 7, 5
FINAL MOVE: -1450, Bishop, Black, 3, 5
FINAL MOVE: -1450, Bishop, Black, 8, 4
FINAL MOVE: -1450, Bishop, Black, 2, 4
FINAL MOVE: -1450, Bishop, Black, 1, 3
FINAL MOVE: -1450, King, Black, 6, 8
FINAL MOVE: 5050, King, Black, 7, 8
FINAL MOVE: -1450, Pawn, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 7, 6
FINAL MOVE: -1450, Knight, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 8, 6
FINAL MOVE: -1450, Rook, Black, 7, 8
MAX CHOSEN: 5050, Bishop, White, 4, 5
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 4, 3
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 2, 5
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: 1700, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 2, 3
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: 1700, Pawn, Black, 5, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 5, 6
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 5, 2
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: 1700, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 1, 6
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: -1300, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Bishop, White, 6, 1
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Queen, White, 5, 2
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Queen, White, 4, 2
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, Queen, White, 4, 3
FINAL MOVE: -1450, Knight, Black, 3, 6
FINAL MOVE: 1550, Knight, Black, 3, 4
FINAL MOVE: -1450, Knight, Black, 2, 3
FINAL MOVE: -1450, Pawn, Black, 1, 6
FINAL MOVE: -1450, Rook, Black, 2, 8
FINAL MOVE: -1450, Pawn, Black, 2, 6
FINAL MOVE: -1450, Pawn, Black, 2, 5
FINAL MOVE: -1450, Pawn, Black, 3, 6
FINAL MOVE: -1450, Pawn, Black, 3, 5
FINAL MOVE: -1450, Pawn, Black, 4, 6
FINAL MOVE: -1300, Pawn, Black, 4, 5
FINAL MOVE: -1450, Bishop, Black, 6, 8
FINAL MOVE: -1450, Bishop, Black, 6, 6
FINAL MOVE: -1450, Bishop, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 7, 5
FINAL MOVE: -1450, Bishop, Black, 3, 5
FINAL MOVE: -1450, Bishop, Black, 8, 4
FINAL MOVE: -1450, Bishop, Black, 2, 4
FINAL MOVE: -1450, Bishop, Black, 1, 3
FINAL MOVE: -1450, King, Black, 6, 8
FINAL MOVE: 5050, King, Black, 7, 8
FINAL MOVE: -1450, Pawn, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 7, 6
FINAL MOVE: -1450, Knight, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 8, 6
FINAL MOVE: -1450, Rook, Black, 7, 8
MAX CHOSEN: 5050, Queen, White, 4, 4
FINAL MOVE: -1450, Knight, Black, 3, 6
FINAL MOVE: 1550, Knight, Black, 3, 4
FINAL MOVE: -1450, Knight, Black, 2, 3
FINAL MOVE: -1450, Pawn, Black, 1, 6
FINAL MOVE: -1450, Rook, Black, 2, 8
FINAL MOVE: -1450, Pawn, Black, 2, 6
FINAL MOVE: -1450, Pawn, Black, 2, 5
FINAL MOVE: -1450, Pawn, Black, 3, 6
FINAL MOVE: -1450, Pawn, Black, 3, 5
FINAL MOVE: -1450, Pawn, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 6, 8
FINAL MOVE: -1450, Bishop, Black, 6, 6
FINAL MOVE: -1450, Bishop, Black, 4, 6
FINAL MOVE: -1450, Bishop, Black, 7, 5
FINAL MOVE: -1450, Bishop, Black, 3, 5
FINAL MOVE: -1450, Bishop, Black, 8, 4
FINAL MOVE: -1450, Bishop, Black, 2, 4
FINAL MOVE: -1450, Bishop, Black, 1, 3
FINAL MOVE: -1450, King, Black, 6, 8
FINAL MOVE: 5050, King, Black, 7, 8
FINAL MOVE: -1450, Pawn, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 7, 6
FINAL MOVE: -1450, Knight, Black, 6, 6
FINAL MOVE: -1450, Pawn, Black, 8, 6
FINAL MOVE: -1450, Rook, Black, 7, 8
MAX CHOSEN: 5050, Queen, White, 4, 5
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: 7700, Pawn, Black, 4, 6
MAX CHOSEN: 7700, Queen, White, 4, 6
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, King, White, 6, 1
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, King, White, 4, 2
FINAL MOVE: -1300, Knight, Black, 3, 6
FINAL MOVE: 1700, Knight, Black, 3, 4
FINAL MOVE: -1300, Knight, Black, 2, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Pawn, Black, 3, 6
FINAL MOVE: -1300, Pawn, Black, 3, 5
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Bishop, Black, 6, 8
FINAL MOVE: -1300, Bishop, Black, 6, 6
FINAL MOVE: -1300, Bishop, Black, 4, 6
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 3, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Bishop, Black, 2, 4
FINAL MOVE: -1300, Bishop, Black, 1, 3
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: 5200, King, Black, 7, 8
MAX CHOSEN: 5200, King, White, 5, 2
FINAL MOVE: -7800, Knight, Black, 3, 6
FINAL MOVE: -4800, Knight, Black, 3, 4
FINAL MOVE: -7800, Knight, Black, 2, 3
FINAL MOVE: -7800, Pawn, Black, 1, 6
FINAL MOVE: -7800, Rook, Black, 2, 8
FINAL MOVE: -7800, Pawn, Black, 2, 6
FINAL MOVE: -7800, Pawn, Black, 2, 5
FINAL MOVE: -7800, Pawn, Black, 3, 6
FINAL MOVE: -7800, Pawn, Black, 3, 5
FINAL MOVE: -7800, Pawn, Black, 4, 6
FINAL MOVE: -7650, Pawn, Black, 4, 5
FINAL MOVE: -7800, Bishop, Black, 6, 8
FINAL MOVE: -7800, Bishop, Black, 6, 6
FINAL MOVE: -7800, Bishop, Black, 4, 6
FINAL MOVE: -7800, Bishop, Black, 7, 5
FINAL MOVE: -7800, Bishop, Black, 3, 5
FINAL MOVE: -7800, Bishop, Black, 8, 4
FINAL MOVE: -7800, Bishop, Black, 2, 4
FINAL MOVE: -7800, Bishop, Black, 1, 3
FINAL MOVE: -7800, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 7, 8
FINAL MOVE: -7800, Pawn, Black, 6, 6
FINAL MOVE: -7800, Pawn, Black, 6, 5
FINAL MOVE: -7800, Pawn, Black, 7, 6
FINAL MOVE: -7800, Pawn, Black, 7, 5
FINAL MOVE: -7800, Knight, Black, 6, 6
FINAL MOVE: -7800, Knight, Black, 6, 4
FINAL MOVE: -7800, Knight, Black, 7, 3
FINAL MOVE: -7800, Pawn, Black, 8, 6
